MemberID,Name,Contact,TypeID,AccountStatus
bcf65f4b-6cc6-4c51-9340-b65d8d9f2125,Vanya Rosbotham,vanya.rosbotham@hotmail.com,B,Active
e8c2144f-e6c0-4c00-b0a0-19d10fd0563b,Humfrid Ashman,humfrid.ashman@hotmail.com,A,Closed
eb35a2d8-196a-48a9-bd97-4dd7bb8da4c1,Uriah Bridden,uriah.bridden@aol.com,B,Suspended
f81ebb4b-a9d3-4767-9b2f-e9e6b4ef7c12,Maurine Leworthy,maurine.leworthy@aol.com,S,Active
f5ac1896-be84-4739-bc4f-611c4deebe0a,Zola Hartford,zola.hartford@gmail.com,P,Closed
a59cb134-154d-42d0-85db-2c551387e40e,Dion Sawdy,dion.sawdy@yahoo.com,A,Closed
9b91d8b5-613a-467c-b7b1-4b1dfc5b2d51,Chelsae Rout,chelsae.rout@hotmail.com,B,Suspended
10491a05-44fe-4b8c-9a77-267476517583,Raddy Huet,raddy.huet@wanadoo.fr,A,Active
d1fd582e-8d87-4f65-bf80-7756e587aaa7,Becka Burren,becka.burren@hotmail.com,S,Closed
5d0d7bcb-b3f8-4a2a-b7d9-3128860bdb48,Roseann Stonestreet,roseann.stonestreet@yahoo.com,P,Suspended
fc928210-fa26-4458-9fa7-bd59e3afdb37,Philis Pattison,philis.pattison@uol.com.br,P,Active
8ab02011-fa2d-4dce-99b4-118bcb7905a9,Dorolice Lawie,dorolice.lawie@hotmail.com,A,Suspended
8ba9a657-6f8b-4640-9d1c-08a67e9222c1,Dallas Emerine,dallas.emerine@gmail.com,B,Active
3d863bbf-e6bf-4d99-84c8-66d14b726662,Biron Thexton,biron.thexton@yahoo.com,S,Closed
9c7694c2-d784-4b2a-ad6a-a61413370499,Teri Petracco,teri.petracco@hotmail.com,P,Suspended
87eda8fb-c168-432d-90c6-bd575b102aba,Zebedee Monard,zebedee.monard@gmail.com,B,Active
114ff942-62cb-46dc-91e8-a75fbcbbdb72,Sonny Warrilow,sonny.warrilow@gmail.com,A,Closed
3035facb-5455-4f37-a89f-e54c4c7c9937,Jerrome Pierse,jerrome.pierse@gmail.com,S,Active
fa9ee51b-938d-4c95-aaaa-bc46cc457cf2,Spence Asch,spence.asch@mail.ru,B,Closed
a4ddb6f0-be1a-43df-b357-a52347247c04,Colan Vany,colan.vany@live.com,P,Suspended
244bc2f5-ea58-434f-8dfa-70477485884e,Gayleen Lared,gayleen.lared@gmail.com,S,Closed
10ddbbda-22f2-4ad8-a096-f4400456479a,Myrtie Bridgwood,myrtie.bridgwood@hotmail.com,A,Suspended
9e68927b-dd54-432e-a16c-217806e8872e,Bibbye Unitt,bibbye.unitt@yahoo.com,B,Active
abc998da-08a3-4c49-99ef-d9cde0fa35de,Seth Smeuin,seth.smeuin@hotmail.com,P,Active
dd719f77-fac1-4efa-a341-4beb32aac561,Lanae Rozycki,lanae.rozycki@gmail.com,S,Closed
6238af86-38d7-4faf-b933-262fb4a60c60,Gerry Olden,gerry.olden@yahoo.com,A,Suspended
fdd08fb7-6d65-462d-a3c1-a82a24d48220,Tamarra Idiens,tamarra.idiens@aol.com,B,Active
87b7d558-5f8f-45ba-92dd-259facf46687,Dannie Warsop,dannie.warsop@hotmail.com,A,Closed
8058c92b-239a-4852-bb9c-3617956299a5,Maisey Menichillo,maisey.menichillo@hotmail.fr,P,Suspended
6334ee1d-c37b-4e03-b89c-bf91281dc347,Rose Mingauld,rose.mingauld@hotmail.com,S,Suspended
6d7e2fc7-4f38-466b-8d86-d696ff5c7658,Alyosha Bartoleyn,alyosha.bartoleyn@gmail.com,P,Active
2057974d-2e05-4496-aa0a-32a6269d9c72,Ariana Tuffey,ariana.tuffey@yahoo.com.br,B,Closed
968fa4ad-49f2-4ab5-b9d7-6ff23ad98dda,Judy Fulop,judy.fulop@comcast.net,A,Closed
aa18715d-c041-4e2d-a528-bf0ea09f6c8b,Flori Gibb,flori.gibb@gmail.com,S,Suspended
ff53f69f-1ed0-4f6b-ae69-5565dbf41a7f,Padgett Vasentsov,padgett.vasentsov@mail.ru,P,Active
aaff16f2-3e02-4ce9-890d-95cefa83f801,Jeremiah Kimmins,jeremiah.kimmins@yahoo.com,A,Closed
2304291e-5d72-4e1e-bb81-8d0fa417f773,Shandra Drable,shandra.drable@gmail.com,B,Suspended
9b545725-d30e-492f-ac35-19b6f5117d7f,Kendre Carmo,kendre.carmo@gmail.com,S,Active
9da9b3e1-1213-4fa1-a399-bbda41999f90,Sansone Bohlens,sansone.bohlens@yahoo.co.uk,P,Closed
eeb1a3dc-d9fc-43a0-9a3f-f2d34819cf9e,Almire Auden,almire.auden@hotmail.com,S,Suspended
e40bf7be-dc5a-4d45-be28-50ee48969b3a,Tore Boggas,tore.boggas@aol.com,B,Active
97c15564-1a62-48f4-9d9a-f6475042696b,Gay Gatheral,gay.gatheral@yahoo.com,A,Active
57e574fc-f830-4981-8aac-b4c2f84fc917,Leigha Scholar,leigha.scholar@hotmail.es,B,Closed
ae13419f-ce14-45bb-b49c-cc144cc19f82,Mora Lambourn,mora.lambourn@hotmail.com,A,Suspended
fe39ecac-5647-4e2e-83ff-12c58840d016,Kittie Loxston,kittie.loxston@yahoo.com,P,Suspended
1856f17b-086d-4981-b031-bc851c5b1403,Andros Yorke,andros.yorke@yahoo.co.uk,S,Active
c00844d1-4ed6-4752-8c7a-c54dc09c745c,Milton Buss,milton.buss@yahoo.com,A,Closed
d7d9f14f-dba7-4935-b3be-9d5ac73c336e,Conny Rafe,conny.rafe@gmail.com,B,Active
264f4dc5-0f66-4275-a04b-2cdf9b97536d,Onfre Saunper,onfre.saunper@yahoo.co.uk,P,Closed
4ce2c7fc-9d4a-43a9-8f5c-6bfcfd00c4f7,Eldredge Davidovicz,eldredge.davidovicz@yahoo.com,S,Suspended
8813c09f-410e-4613-a483-c28ede682eae,Obadias Weinham,obadias.weinham@yahoo.com,B,Suspended
e1cea610-8f65-4e82-8c62-f21a3483d7a4,Pablo Vinick,pablo.vinick@hotmail.com,S,Active
81cf6e5d-d7ca-4cae-9373-5665b664759d,Laetitia Bugden,laetitia.bugden@gmail.com,P,Closed
800aff3c-7dc3-41fe-8569-9b679bef6c3b,Mellisent Litster,mellisent.litster@gmail.com,A,Closed
9613a484-c35d-4bf4-a63e-c179d88c8c8e,Malinde Chiswell,malinde.chiswell@hotmail.fr,B,Suspended
93fb0f82-2afd-496b-b5a0-02f043c69364,Vito Raoux,vito.raoux@hotmail.com,A,Active
63fc8e62-1696-4b27-a951-f8c85b2d27be,Shelba Gove,shelba.gove@aol.com,P,Closed
e575cdaf-f89c-40a6-bec2-2fdeeb66a296,Miran Bragger,miran.bragger@yahoo.com,S,Suspended
b8d2187c-a10a-4b5b-96ff-b306697405f4,Kaylil Winman,kaylil.winman@aol.com,P,Active
0b549e0b-7ac6-49c2-839b-fcbda42895cf,Kacey Vermer,kacey.vermer@hotmail.es,A,Suspended
c94dd1f1-97f5-42a1-bc72-ac43adeaecb6,Abbie McAlpine,abbie.mcalpine@gmail.com,B,Active
2fcef34b-a11f-4f94-bba2-efdc7b582464,Clarisse Water,clarisse.water@libero.it,S,Closed
79e33b0c-d033-47d0-954f-4cf0cddba77f,Brandtr Vanyard,brandtr.vanyard@att.net,S,Suspended
9069871e-073c-4926-acfa-bb6a96a8b23f,Stinky Kerans,stinky.kerans@hotmail.com,P,Active
ead9b88f-b10f-4be6-9336-e43713709dbf,Florance MacNalley,florance.macnalley@yahoo.com,B,Closed
5037d41b-2842-4e92-85a0-8eaf4ada8c79,Dorry Spavon,dorry.spavon@uol.com.br,A,Suspended
a0af8768-a370-40c3-818d-c024008bd47e,Noella Stronough,noella.stronough@gmx.de,P,Active
8e6afdfb-4ab0-4347-858b-6d13b2dd381d,Randee Lassells,randee.lassells@live.co.uk,B,Closed
90717f69-a637-4712-a011-7fce15bab642,Dulcy Stealy,dulcy.stealy@googlemail.com,A,Active
4e782040-ddc6-41a3-9ed1-bc2b54157763,Naoma Van der Spohr,naoma.vanderspohr@live.com,S,Closed
4daea1b5-19e1-4c47-b45a-061c98d5a86b,Ryon Rought,ryon.rought@gmail.com,B,Suspended
31816ee1-3995-4fdb-8e78-5b5339f31ef2,Laurie Janku,laurie.janku@yahoo.com,A,Closed
8aaa8721-688e-40a5-be2b-4579336d0282,Burton Wessel,burton.wessel@hotmail.com,S,Suspended
bb0e60bc-7afe-4fba-a9e0-11d293ba2925,Merv Jandl,merv.jandl@gmail.com,P,Active
d123be72-f4f3-4b46-a6fe-1d7eb605d867,Auberon Keyzman,auberon.keyzman@gmx.de,B,Suspended
6b023a74-a9b6-4357-b739-e4873a199eb0,Cecilia Twinterman,cecilia.twinterman@gmail.com,A,Active
f5d71fc8-9554-4394-9b85-9fde59d8cd92,Mathew Derks,mathew.derks@yahoo.com,S,Closed
bc600d80-882e-42d6-9ae4-d86ac80571cf,Veda McCarlich,veda.mccarlich@hotmail.com,P,Active
